gene,fold.change,p.adjvalue,rank,pvalue
Dnase1l1,0.023596097,0.91016142,5.24E-01,0.299571069
Dnase1l2,0.016961577,0.984087759,1.93E-01,0.641231876
Dnase1l3,0.48263488,0.065252269,2.76E+00,0.001724522
Dnase2a,0.02458459,0.914127602,5.06E-01,0.311563152
Dnase2b,-0.001322815,1,-3.19E-02,0.929256031
Dnd1,-0.023948345,0.972474853,-2.79E-01,0.526301265
Dner,0.070739834,0.742665165,8.63E-01,0.136983104
Dnhd1,-0.0060935,0.998960885,-7.94E-02,0.832874756
Dnlz,-0.009773704,0.990922016,-1.52E-01,0.704998453
Dnm1,0.039922167,0.915070777,5.02E-01,0.314895695
Dnm1l,0.01997962,0.915070777,5.00E-01,0.316106052
Dnm2,0.005435997,0.990506203,1.72E-01,0.67332403
Dnm3,-0.041145276,0.912735161,-5.09E-01,0.310045546
Dnm3os,-0.004741546,1,-1.14E-01,0.769262235
Dnmbp,0.002429783,0.999774489,5.39E-02,0.883260809
Dnmt1,-0.019408044,0.921623761,-4.84E-01,0.327971107
Dnmt3a,0.400552281,0.086462297,2.58E+00,0.002633987
Dnmt3aos,0.244370102,0.221583361,1.93E+00,0.011801772
Dnmt3b,-0.038750031,0.87346881,-6.21E-01,0.23921543
Dnmt3c,-0.008844468,1,-3.63E-01,0.433264991
Dnmt3l,-0.002018369,1,-3.32E-02,0.926380013
Dnpep,-0.004509261,0.998960885,-9.25E-02,0.808123716
Dnph1,0.033489882,0.915070777,4.97E-01,0.318495343
Dntt,1.15E-05,0.999939637,1.11E-04,0.9997437
Dnttip1,-0.007220766,0.986556601,-1.84E-01,0.654682917
Dnttip2,0.003793582,0.996532605,1.03E-01,0.789305618
Doc2a,-0.007195021,1,-1.44E-01,0.717417786
Doc2b,0.032668113,1,1.09E+00,0.080944191
Doc2g,-0.001296206,0.999774489,-1.54E-02,0.965248233
Dock1,0.365496945,0.147044064,2.21E+00,0.006229963
Dock10,0.003165872,0.999070304,7.07E-02,0.849695046
Dock11,0.000698809,0.999774489,1.58E-02,0.964219375
Dock2,0.023376491,0.91016142,5.22E-01,0.300336736
Dock3,0.14646459,0.30150292,1.69E+00,0.02049255
Dock4,0.478230205,0.073559554,2.69E+00,0.002052606
Dock5,0.004480274,0.998960885,8.95E-02,0.813782699
Dock6,0.016311647,0.968756427,3.27E-01,0.470884964
Dock7,0.698988782,0.007600966,3.99E+00,0.000101184
Dock8,-8.77E-05,0.999820082,-2.16E-03,0.995033239
Dock9,0.001275331,0.999774489,2.31E-02,0.948103811
Dohh,0,1,0.00E+00,
