gene,fold.change,p.adjvalue,rank,pvalue
Pias1,0.070617337,0.747473249,3.52E-01,0.444911051
Pias2,0.041449628,0.854329121,1.88E-01,0.649032931
Pias3,0.089046072,0.68076354,4.70E-01,0.338574217
Pias4,-0.074812155,0.734338068,-3.73E-01,0.423702497
Pibf1,-0.054479133,0.80468723,-2.56E-01,0.554467151
Picalm,-0.090121326,0.679186039,-4.75E-01,0.334828452
Pick1,0.023527297,0.91894493,9.97E-02,0.794828986
Pid1,0.207042492,0.305843877,1.62E+00,0.024060766
Pidd1,0.099665123,0.641142924,5.56E-01,0.277976872
Pierce1,0.040456222,0.714072133,4.07E-01,0.392107652
Pierce2,0.173108598,0.366660089,1.36E+00,0.043475249
Piezo1,0.021472698,0.925068185,9.18E-02,0.809435171
Piezo2,0.198696367,0.387567835,1.28E+00,0.052752184
Pif1,0.242012543,0.292614919,1.67E+00,0.02138688
Piga,-0.092526993,0.649063297,-5.34E-01,0.29258071
Pigb,-0.044502508,0.835873848,-2.14E-01,0.610769339
Pigbos1,0.152720793,0.44284967,1.09E+00,0.080403298
Pigc,-0.071369589,0.747473249,-3.52E-01,0.444234519
Pigf,0.066920416,0.759349224,3.30E-01,0.468128943
Pigg,-0.0922342,0.596300578,-6.52E-01,0.222752096
Pigh,-0.100110158,0.650641835,-5.31E-01,0.294492455
Pigk,-0.095210831,0.627664784,-5.86E-01,0.25919944
Pigl,-0.041707052,0.854011524,-1.88E-01,0.64809795
Pigm,-0.086282804,0.694371702,-4.43E-01,0.360591263
Pign,-0.101611637,0.646302482,-5.43E-01,0.286448394
Pigo,0.063858693,0.7665282,3.17E-01,0.481975423
Pigp,0.147303685,0.504024651,9.27E-01,0.118426217
Pigq,-0.064981749,0.758674093,-3.32E-01,0.465546366
Pigr,-0.136656849,0.508921321,-9.12E-01,0.122488018
Pigs,-0.0989153,0.652271986,-5.28E-01,0.296658657
Pigt,-0.085280432,0.660038895,-5.12E-01,0.307763356
Pigu,-0.044811944,0.837097212,-2.11E-01,0.615410361
Pigv,-0.076753508,0.724364841,-3.86E-01,0.411011804
Pigw,-0.040066695,0.812490834,-2.45E-01,0.568826277
Pigx,-0.040663962,0.857282547,-1.83E-01,0.655764529
Pigyl,0.080730689,0.685097954,4.60E-01,0.346679913
Pigz,0.018917009,1,2.68E-01,0.539658351
Pih1d1,0.133277806,0.553474661,7.75E-01,0.167949971
Pih1d2,0.056751671,0.684701908,4.61E-01,0.346247162
Pik3ap1,0.136164687,0.492232184,9.59E-01,0.109837338
Pik3c2a,-0.123856087,0.568392711,-7.30E-01,0.186326845
Pik3c2b,-0.337789235,0.151117788,-2.42E+00,0.003803651
Pik3c2g,0.459865599,0.144529635,2.52E+00,0.003033208
Pik3c3,-0.016650418,0.939988793,-7.27E-02,0.845803127
Pik3ca,-0.046003267,0.837097212,-2.11E-01,0.615365587
Pik3cb,-0.007058576,0.977593538,-2.87E-02,0.935944734
Pik3cd,0.103010434,0.526349453,8.66E-01,0.136111182
Pik3cg,-0.063005292,0.653220472,-5.25E-01,0.2985944
Pik3ip1,-0.106316432,0.533065626,-8.45E-01,0.142825438
Pik3r1,-0.153485093,0.514861633,-8.99E-01,0.126282937
Pik3r2,-0.036738208,0.872382502,-1.63E-01,0.687058902
Pik3r3,0.043665693,0.845224632,1.98E-01,0.633396794
Pik3r4,-0.114275154,0.592190734,-6.62E-01,0.217733154
Pik3r5,-0.118687312,0.536225567,-8.34E-01,0.146721803
Pik3r6,0.031184823,0.784450678,2.92E-01,0.511007547
Pikfyve,-0.156963919,0.50634829,-9.18E-01,0.120849176
Pilra,0.013714169,1,2.77E-01,0.528598283
Pilrb1,-0.009386057,1,-1.93E-01,0.641024157
Pilrb2,0.084959323,0.536560525,8.31E-01,0.147456753
Pim1,-0.039712993,0.861480612,-1.78E-01,0.663631087
Pim2,0.052439294,0.800783245,2.62E-01,0.5470516
Pim3,0.142145916,0.540251538,8.16E-01,0.152860924
Pimreg,-0.028742883,0.863394938,-1.76E-01,0.667302176
Pin1,0.11078665,0.596300578,6.52E-01,0.222667832
Pin1rt1,0,1,0.00E+00,
Pin4,0.155504854,0.444069737,1.09E+00,0.082011313
Pinc,0.012741627,1,2.78E-01,0.527524762
Pink1,-0.161850489,0.480834748,-9.92E-01,0.10180752
Pinlyp,0.009309024,1,1.88E-01,0.64894323
Pinx1,0.199600358,0.351618701,1.43E+00,0.037010266
Pip,-0.025661284,1,-5.91E-01,0.25661802
Pip4k2a,0.005736031,0.975967854,3.03E-02,0.932596728
Pip4k2b,-0.053475379,0.775527267,-3.06E-01,0.494447083
Pip4k2c,-0.125243947,0.576292853,-7.06E-01,0.196701015
Pip4p1,0.077348965,0.719626663,3.94E-01,0.403644389
Pip4p2,-0.13737984,0.512271831,-9.05E-01,0.124441668
Pip5k1a,0.04902595,0.827326098,2.27E-01,0.593251966
Pip5k1b,0.069896956,0.748768804,3.49E-01,0.448170164
Pip5k1bos,0.060635176,0.634961387,5.72E-01,0.267794879
Pip5k1c,-0.076694661,0.724364841,-3.86E-01,0.410873763
