gene,fold.change,p.adjvalue,rank,pvalue
Stk10,-0.08176631,0.670972572,-0.484470715,0.327739876
Stk11,-0.087439551,0.667468054,-0.490197559,0.323446489
Stk11ip,-0.110528667,0.534275411,-0.69475151,0.201952154
Stk16,0.143288101,0.441584031,0.865774721,0.136215108
Stk17b,-0.315588268,0.072694613,-2.130208753,0.00740954
Stk19,-0.216086542,0.206286206,-1.441410301,0.036190093
Stk24,0.009189522,0.974007846,0.040568536,0.910817704
Stk25,0.002865587,0.992062862,0.012120826,0.972476631
Stk26,-0.018742374,0.943956033,-0.083858088,0.824407459
Stk3,-0.010958058,0.970250791,-0.046350943,0.898771012
Stk31,0.018969777,1,0.239690382,0.575850327
Stk32a,-0.044071631,1,-0.400234654,0.397892127
Stk32b,0,1,0,
Stk32c,-1.189034533,0.000139158,-5.567030709,2.71E-06
Stk33,0,1,0,
Stk35,0.078793269,0.706065214,0.427778192,0.373440837
Stk35os1,-0.006576238,0.983621173,-0.024974252,0.944116849
Stk36,-0.0443162,0.866340407,-0.190815373,0.644443173
Stk38,-0.01797756,0.945222467,-0.082051545,0.827843903
Stk38l,-0.071419521,0.738829721,-0.380579302,0.416313695
Stk39,-0.648273908,0.008391366,-3.381530371,0.000415403
Stk4,-0.082038512,0.671858913,-0.483359307,0.328579673
Stk40,-0.014545634,0.958366076,-0.06462112,0.861745214
Stkld1,0.149418255,0.513730476,0.729089184,0.186599646
Stmn1,0.387864841,0.075327422,2.106271574,0.007829399
Stmn2,-0.027679038,1,-0.183154796,0.655911438
Stmn3,0.020414792,1,0.260718738,0.54863216
Stmn4,0.020414792,1,0.260718738,0.54863216
Stmnd1,0.025626547,1,0.169265284,0.677227704
Stmp1,-0.090549767,0.657001609,-0.504651107,0.312859173
Stn1,-0.152898038,0.42296213,-0.899867638,0.125930916
Stom,0.166655975,0.36660616,1.013133716,0.09702112
Stoml1,0.030124001,0.899313934,0.141353884,0.722181096
Stoml2,0.094471618,0.642607707,0.52533161,0.298310397
Stoml3,-0.011511084,1,-0.112823525,0.771216788
Ston1,0.052317764,0.837777117,0.232691326,0.585205871
Ston2,0.037862726,0.878167305,0.175567621,0.667470965
Stox1,0.084568646,1,0.676818983,0.210465549
Stox2,0.047540458,0.854463056,0.211157659,0.61495359
Stpg1,0.102140537,1,0.654476698,0.221576298
Stpg2,0.047272406,1,0.244045552,0.570104473
Stpg3,-0.038678179,0.857031542,-0.205348962,0.623233856
Stpg4,-0.442640113,0.121479315,-1.789527645,0.01623575
Stra6,-0.101790923,1,-0.745958296,0.179490598
Stra6l,-0.160935707,0.383999057,-0.97740392,0.105340671
Stra8,-0.001938314,1,-0.015808502,0.964254109
Strada,-0.116114048,0.515578124,-0.726116296,0.187881364
Stradb,0.041772205,0.861308221,0.198220417,0.633548086
Strap,-0.189594915,0.293590374,-1.180442128,0.066002118
Strbp,0.181355527,0.262083421,1.266610989,0.054123891
Strc,0.201222751,1,1.589342632,0.025742894
Strip1,-0.130908899,0.473551292,-0.801104185,0.158086875
Strip2,0.050814365,0.837511231,0.233084267,0.584676627
Strit1,0,1,0,
Strn,0.110710528,0.543580364,0.678858859,0.209479313
Strn3,-0.196146523,0.230088524,-1.361088126,0.043542351
Strn4,0.058279179,0.786578088,0.310835126,0.488837905
Sts,-0.185504833,0.329369108,-1.091208001,0.081057275
Stt3a,0.482634335,0.005375348,3.629464706,0.000234712
Stt3b,0.018651355,0.942166747,0.085942172,0.820460785
Stub1,-0.006059205,0.983310136,-0.025404709,0.943181538
Stum,-0.198456027,0.409374909,-0.923505563,0.119259899
Stx11,-0.415870443,0.061309612,-2.233928476,0.005835412
Stx12,-0.033128706,0.890603892,-0.155584919,0.698900066
Stx16,0.044658438,0.838604125,0.230376443,0.588333471
Stx17,-0.052258768,0.81429103,-0.265736326,0.542330056
Stx18,0.115536962,0.548456815,0.671501182,0.213058477
Stx19,0,1,0,
Stx1a,-0.126455135,0.533045666,-0.696871886,0.200968557
Stx1b,0.053085485,1,0.427158557,0.373974029
Stx2,0.146980057,0.459016243,0.829964963,0.147922772
Stx3,0.152167557,0.47641581,0.796158536,0.159897423
Stx4a,-0.045726653,0.841262491,-0.227301295,0.592514121
Stx5a,-0.065414482,0.759136851,-0.348977079,0.447736934
Stx6,-0.014883076,0.957824423,-0.06524558,0.860507025
Stx7,0.097827688,0.588390866,0.601913657,0.250084251
